Your pokémon:
Aromatisse | Level: 28 | Number: 54 | IV: 45.16%
Aromatisse | Level: 32 | Number: 104 | IV: 59.68%
Aromatisse | Level: 17 | Number: 340 | IV: 51.61%
Aromatisse | Level: 14 | Number: 1326 | IV: 58.06%
Aromatisse | Level: 12 | Number: 2392 | IV: 45.16%
Aromatisse | Level: 28 | Number: 3079 | IV: 46.24%
Aromatisse | Level: 25 | Number: 3182 | IV: 51.08%
Aromatisse | Level: 41 | Number: 3185 | IV: 50%
Aromatisse | Level: 39 | Number: 3283 | IV: 52.15%
Aromatisse | Level: 12 | Number: 4232 | IV: 56.99%
Aromatisse | Level: 18 | Number: 4707 | IV: 57.53%
Aromatisse | Level: 39 | Number: 5048 | IV: 47.85%
Aromatisse | Level: 23 | Number: 5131 | IV: 47.31%
Aromatisse | Level: 6 | Number: 5352 | IV: 48.39%
Aromatisse | Level: 18 | Number: 5537 | IV: 72.04%
Aromatisse | Level: 33 | Number: 5564 | IV: 57.53%
Aromatisse | Level: 40 | Number: 5596 | IV: 48.92%
Aromatisse | Level: 14 | Number: 6596 | IV: 58.6%
Aromatisse | Level: 27 | Number: 6639 | IV: 57.53%
Aromatisse | Level: 34 | Number: 7427 | IV: 54.84%
Showing 1-20 of 84 pokémon matching this search.
Your pokémon:
Aromatisse | Level: 41 | Number: 7581 | IV: 42.47%
Aromatisse | Level: 27 | Number: 8351 | IV: 43.01%
Aromatisse | Level: 22 | Number: 8729 | IV: 47.31%
Aromatisse | Level: 4 | Number: 8876 | IV: 78.49%
Aromatisse | Level: 18 | Number: 9235 | IV: 63.98%
Aromatisse | Level: 34 | Number: 9435 | IV: 47.31%
Aromatisse | Level: 8 | Number: 9540 | IV: 52.15%
Aromatisse | Level: 2 | Number: 9571 | IV: 69.35%
Aromatisse | Level: 24 | Number: 11090 | IV: 29.03%
Aromatisse | Level: 2 | Number: 11161 | IV: 50%
Aromatisse | Level: 13 | Number: 11284 | IV: 51.08%
Aromatisse | Level: 5 | Number: 11341 | IV: 63.44%
Aromatisse | Level: 16 | Number: 11872 | IV: 47.31%
Aromatisse | Level: 38 | Number: 12275 | IV: 60.75%
Aromatisse | Level: 3 | Number: 12813 | IV: 44.09%
Aromatisse | Level: 30 | Number: 12891 | IV: 33.33%
Aromatisse | Level: 40 | Number: 13051 | IV: 60.75%
Aromatisse | Level: 39 | Number: 13083 | IV: 47.31%
Aromatisse | Level: 31 | Number: 13249 | IV: 54.84%
Aromatisse | Level: 6 | Number: 13372 | IV: 63.98%
Showing 21-40 of 84 pokémon matching this search.
Your pokémon:
Aromatisse | Level: 29 | Number: 13390 | IV: 63.44%
Aromatisse | Level: 2 | Number: 13399 | IV: 51.61%
Aromatisse | Level: 10 | Number: 13412 | IV: 54.84%
Aromatisse | Level: 25 | Number: 14509 | IV: 36.02%
Aromatisse | Level: 32 | Number: 14724 | IV: 61.83%
Aromatisse | Level: 40 | Number: 14829 | IV: 66.13%
Aromatisse | Level: 42 | Number: 14837 | IV: 49.46%
Aromatisse | Level: 16 | Number: 14919 | IV: 49.46%
Aromatisse | Level: 28 | Number: 15031 | IV: 48.39%
Aromatisse | Level: 17 | Number: 15049 | IV: 38.17%
Aromatisse | Level: 32 | Number: 15106 | IV: 41.4%
Aromatisse | Level: 30 | Number: 15155 | IV: 38.71%
Aromatisse | Level: 9 | Number: 15284 | IV: 48.39%
Aromatisse | Level: 6 | Number: 15434 | IV: 64.52%
Aromatisse | Level: 14 | Number: 15446 | IV: 62.9%
Aromatisse | Level: 38 | Number: 15520 | IV: 50%
Aromatisse | Level: 23 | Number: 15680 | IV: 46.77%
Aromatisse | Level: 42 | Number: 16088 | IV: 32.8%
Aromatisse | Level: 23 | Number: 16125 | IV: 59.14%
Aromatisse | Level: 27 | Number: 16707 | IV: 69.89%
Showing 41-60 of 84 pokémon matching this search.
Your pokémon:
Aromatisse | Level: 2 | Number: 16883 | IV: 49.46%
Aromatisse | Level: 3 | Number: 17079 | IV: 52.69%
Aromatisse | Level: 26 | Number: 17131 | IV: 29.03%
Aromatisse | Level: 19 | Number: 17682 | IV: 47.85%
Aromatisse | Level: 17 | Number: 18439 | IV: 60.75%
Aromatisse | Level: 4 | Number: 18827 | IV: 51.61%
Aromatisse | Level: 13 | Number: 18959 | IV: 56.45%
Aromatisse | Level: 12 | Number: 19348 | IV: 45.16%
Aromatisse | Level: 41 | Number: 19612 | IV: 76.34%
Aromatisse | Level: 32 | Number: 19707 | IV: 52.69%
Aromatisse | Level: 12 | Number: 19763 | IV: 42.47%
Aromatisse | Level: 20 | Number: 19843 | IV: 76.88%
Aromatisse | Level: 15 | Number: 19933 | IV: 40.32%
Aromatisse | Level: 33 | Number: 19940 | IV: 34.41%
Aromatisse | Level: 20 | Number: 20294 | IV: 53.76%
Aromatisse | Level: 16 | Number: 20835 | IV: 41.4%
Aromatisse | Level: 3 | Number: 21009 | IV: 36.02%
Aromatisse | Level: 30 | Number: 21258 | IV: 57.53%
Aromatisse | Level: 6 | Number: 21541 | IV: 68.82%
Aromatisse | Level: 26 | Number: 22663 | IV: 49.46%
Showing 61-80 of 84 pokémon matching this search.
Your pokémon:
Aromatisse | Level: 6 | Number: 22745 | IV: 61.83%
Aromatisse | Level: 37 | Number: 23642 | IV: 56.99%
Aromatisse | Level: 34 | Number: 24045 | IV: 55.38%
Aromatisse | Level: 1 | Number: 24411 | IV: 39.78%
Showing 81-84 of 84 pokémon matching this search.
